CACode,VaCode,Estimate,ASE,Flag
C02C,V08A,16.9,2.9,
C02C,V08B,30.2,3.3,
C02C,V08C,53,3.7,
C02C,V09A,27.1,2.3,
C02C,V09B,51.2,2.2,
C02C,V09C,16.4,1.8,
C02C,V09D,5.3,1.1,
C02C,V10A,62.4,5.9,
C02C,V11A,13,3.9,
C02C,V12A,37.7,6,
C02C,V13A,12.7,4.9,*
C02C,V14A,55.2,9.2,
C02C,V15A,21.7,7,*
C02C,V16A,17.3,5.7,*
C02C,V17A,88.1,1.4,
C02C,V17B,7.6,1.2,
C02C,V17C,2.3,0.7,
C02C,V17D,2,0.5,
C02C,V18A,77.2,2,
C02C,V18B,15.5,1.8,
C02C,V18C,4.1,0.8,
C02C,V18D,2.7,0.5,
C02C,V18E,0.5,0.3,**
C02C,V19A,3.1,0.8,
C02C,V19B,9.8,1.2,
C02C,V19C,8,1.2,
C02C,V19D,79.1,1.9,
C02C,V20A,39.9,5.1,
C02C,V21A,40.7,5.7,
C02C,V22A,14.5,3.6,
C02C,V23A,22,5.3,
C02C,V24A,35.8,2.5,
C02C,V24B,11.5,1.6,
C02C,V24C,8.3,1.4,
C02C,V24D,2.5,0.8,*
C02C,V24E,34.8,2.7,
C02C,V24F,7.1,1.3,
C02C,V25A,57.3,2.3,
C02C,V25B,22.1,2,
C02C,V25C,12,1.6,
C02C,V25D,5.1,1.1,
C02C,V25E,3.5,0.8,
C02C,V26A,53.5,5,
C02C,V27A,33.2,4.3,
C02C,V28A,20.8,4,
C02C,V29A,26,4,
C02C,V29B,48.8,4.6,
C02C,V29C,2.3,1.3,**
C02C,V29D,9.8,3.1,*
C02C,V29E,13.1,3.2,
C02C,V30A,18.5,1.9,
C02C,V30B,9.4,1.4,
C02C,V30C,10.5,1.6,
C02C,V30D,13.7,1.6,
C02C,V30E,47.9,2.1,
C02C,V31A,52.2,2.7,
C02C,V32A,15.3,2,
C02C,V33A,3.4,1,*
C02C,V34A,18.3,2.2,
C02C,V35A,21.5,2.2,
C02C,V36A,3.2,0.8,
C02C,V37A,29.9,4.6,
C02C,V37B,12.7,3.1,
C02C,V37C,11.3,3.7,*
C02C,V37D,8.4,2.3,
C02C,V37E,35.5,4.6,
C02C,V37F,2.2,1.5,**
C02C,V38A,46.5,5.9,
C02C,V39A,18.1,4.9,
C02C,V40A,6.5,2.5,*
C02C,V41A,13.2,4.1,*
C02C,V42A,25.5,4.9,
C02C,V43A,4.9,2.6,**
C02C,V44A,8.8,1.3,
C02C,V44B,13.8,1.6,
C02C,V44C,10.9,1.4,
C02C,V44D,18.5,1.6,
C02C,V44E,48,2.3,
C02C,V45A,59,3.4,
C02C,V45B,21.9,3.1,
C02C,V45C,12,2.1,
C02C,V45D,4.2,1.4,*
C02C,V45E,2.9,1.2,*
C02C,V46A,19.7,4.3,
C02C,V46B,10.4,3.4,*
C02C,V46C,14.8,3.3,
C02C,V46D,22,5,
C02C,V46E,33.1,5.7,
C02C,V47A,22.2,4.2,
C02C,V47B,27.6,4.9,
C02C,V47C,10.7,3,
C02C,V47D,6.2,2.6,*
C02C,V47E,7.2,2.1,
C02C,V47F,9,2.3,
C02C,V47G,4.7,2,*
C02C,V47H,6,2.3,*
C02C,V47I,6.4,2.5,*
C02D,V00T,18.4,0,B
C02D,V01A,56.9,2.5,
C02D,V01B,37.3,2.5,
C02D,V01C,3.7,0.9,
C02D,V01D,2.2,0.8,*
C02D,V02A,1,0.5,*
C02D,V02B,7.2,1.6,
C02D,V02C,88.6,1.9,
C02D,V02D,2.2,0.7,*
C02D,V02E,1,0.5,**
C02D,V03A,65.3,2.8,
C02D,V03B,31.1,2.6,
C02D,V03C,2.3,0.8,*
C02D,V03D,1.4,0.6,*
C02D,V04A,6.8,1.4,
C02D,V04B,5.4,1.1,
C02D,V04C,19.8,2.2,
C02D,V04D,11.2,1.6,
C02D,V04E,14.3,1.7,
C02D,V04F,15.7,1.8,
C02D,V04G,6.7,1.3,
C02D,V04H,20.2,2.1,
C02D,V04M,6.9,0.1,
C02D,V05A,12.9,1.7,
C02D,V05B,25.8,2.2,
C02D,V05C,59.7,2.3,
C02D,V05D,1.6,0.6,*
C02D,V06A,1.7,0.6,*
C02D,V06B,15.8,2,
C02D,V06C,82.6,2,
C02D,V07A,18.3,1.9,
C02D,V07B,81.7,1.9,
C02D,V08A,12.3,4.2,*
C02D,V08B,24.9,5,
C02D,V08C,62.9,5.9,
C02D,V09A,43,2.6,
C02D,V09B,46.5,2.8,
C02D,V09C,8.6,1.5,
C02D,V09D,1.9,0.7,*
C02D,V10A,56.3,8.5,
C02D,V11A,8.8,4.9,**
C02D,V12A,42.2,8.1,
C02D,V13A,16.6,17.7,***
C02D,V14A,52.5,17.8,*
C02D,V15A,8.9,9.5,***
C02D,V16A,28.4,15.7,**
C02D,V17A,91.4,1.4,
C02D,V17B,5.2,1.1,
C02D,V17C,1.6,0.6,*
C02D,V17D,1.8,0.6,*
C02D,V18A,78.9,2.2,
C02D,V18B,13.7,1.8,
C02D,V18C,3.5,0.9,
C02D,V18D,3,0.9,
C02D,V18E,0.9,0.4,*
C02D,V19A,3,0.8,
C02D,V19B,6.4,1.2,
C02D,V19C,7.2,1.5,
C02D,V19D,83.4,1.9,
C02D,V20A,45.7,7.7,
C02D,V21A,25.1,6.1,
C02D,V22A,10.1,4.1,*
C02D,V23A,28.2,6.5,
C02D,V24A,43,3.1,
C02D,V24B,13.4,1.8,
C02D,V24C,10.1,1.8,
C02D,V24D,2.4,0.7,*
C02D,V24E,26.2,2.6,
C02D,V24F,5,1.3,
C02D,V25A,63.4,2.7,
C02D,V25B,20.1,2,
C02D,V25C,10.8,1.8,
C02D,V25D,3,1.1,*
C02D,V25E,2.6,0.8,*
C02D,V26A,64.8,6.8,
C02D,V27A,19.4,5.9,*
C02D,V28A,18.5,5.6,*
C02D,V29A,28.2,5.1,
C02D,V29B,50.2,7.2,
C02D,V29C,0.7,0.6,**
C02D,V29D,11.8,4.7,*
C02D,V29E,9.1,3.1,*
C02D,V30A,14.8,2,
C02D,V30B,6.7,1.2,
C02D,V30C,9.3,1.7,
C02D,V30D,10,1.4,
C02D,V30E,59.2,2.5,
C02D,V31A,54.5,2.9,
C02D,V32A,5.9,1.4,
C02D,V33A,1.3,0.7,**
C02D,V34A,25.1,2.6,
C02D,V35A,21.5,2.5,
C02D,V36A,2.6,0.9,*
C02D,V37A,33.9,16.1,*
C02D,V37B,8,9.3,***
C02D,V37C,18.8,12.5,**
C02D,V37D,14.5,13.4,**
C02D,V37E,22.3,10.9,*
C02D,V37F,S,,S
C02D,V38A,34.7,19,**
C02D,V39A,22.2,18.7,**
C02D,V40A,27.8,21.1,**
C02D,V41A,S,,S
C02D,V42A,23.3,21,**
C02D,V43A,6.6,9.4,***
C02D,V44A,4.3,1,
C02D,V44B,8.8,1.5,
C02D,V44C,9.2,1.7,
C02D,V44D,16.9,2.5,
C02D,V44E,60.7,3.2,
C02D,V45A,77.7,5,
C02D,V45B,14.5,4.5,*
C02D,V45C,5.1,2,*
C02D,V45D,2.1,1.6,**
C02D,V45E,S,,S
C02D,V46A,30.7,7,
C02D,V46B,3.6,2.6,**
C02D,V46C,8.7,4.8,**
C02D,V46D,31.5,6.5,
C02D,V46E,25.5,5.4,
C02D,V47A,18.7,7,*
C02D,V47B,15.4,8.5,**
C02D,V47C,10.9,5.4,**
C02D,V47D,S,,S
