CACode,VaCode,Estimate,ASE,Flag
C03A,V05A,20.9,14.9,**
C03A,V06A,43.4,4.7,
C03A,V06B,40.2,3.8,
C03A,V06C,12.3,2.6,
C03A,V06D,4,1.5,*
C03A,V07A,77.1,13.9,
C03A,V08A,31.4,15.4,*
C03A,V09A,68.5,3.8,
C03A,V09B,26,3.7,
C03A,V09C,4.1,1.5,*
C03A,V09D,1.4,0.9,**
C03A,V10A,67.2,41.7,**
C03A,V11A,46.9,39.9,**
C03A,V12A,44.4,4.8,
C03A,V12B,30.1,4.4,
C03A,V12C,9.1,2.2,
C03A,V12D,16.4,3.2,
C03A,V13A,43.7,10.4,
C03A,V14A,18.4,8.5,*
C03A,V15A,41.7,10.6,
C03A,V16A,7.7,5.6,**
C03A,V17A,45.9,3.9,
C03A,V17B,54.1,3.9,
C03A,V18A,8.1,3.7,*
C03A,V18B,42.9,5.2,
C03A,V18C,28.4,5.1,
C03A,V18D,7.4,2.7,*
C03A,V18E,7,2.8,*
C03A,V18F,6.1,2.7,*
C03A,V19A,73,4,
C03A,V19B,27,4,
C03A,V20A,36.4,4,
C03A,V20B,7.5,2.8,*
C03A,V20C,6,2.1,*
C03A,V20D,13.7,2.9,
C03A,V20E,1.4,1.1,**
C03A,V20F,27.4,4.5,
C03A,V20G,7.7,2.9,*
C03A,V21A,75.9,3.9,
C03A,V21B,24.1,3.9,
C03A,V22A,15.5,3.1,
C03A,V22B,7.2,2.6,*
C03A,V22C,37.5,4.4,
C03A,V22D,6.6,2.5,*
C03A,V22E,4.4,2.1,*
C03A,V22F,2.5,1.3,**
C03A,V22G,21.2,3.8,
C03A,V22H,5.2,1.7,*
C03A,V23A,58.6,4.1,
C03A,V23B,41.4,4.1,
C03A,V24A,19.5,4.3,
C03A,V24B,35.4,4.9,
C03A,V24C,11.6,3.3,
C03A,V24D,9.3,3.1,*
C03A,V24E,12.7,3.4,
C03A,V24F,11.5,3.6,*
C03A,V25A,71.1,3.9,
C03A,V25B,28.9,3.9,
C03A,V26A,4.1,1.9,*
C03A,V26B,5.4,2.5,*
C03A,V26C,35.8,4.6,
C03A,V26D,16.5,3.4,
C03A,V26E,25.4,4.4,
C03A,V26F,12.8,3.1,
C03A,V27A,20.3,3.3,
C03A,V27B,79.7,3.3,
C03A,V28A,48.4,3.8,
C03A,V29A,95.2,1.8,
C03A,V30A,80.6,3.2,
C03B,V00T,18.3,0,B
C03B,V01A,13.5,2.4,
C03B,V01B,13.1,2,
C03B,V01C,12.8,2.1,
C03B,V01D,20.7,2.8,
C03B,V01E,20.2,2.8,
C03B,V01F,10.7,2.4,
C03B,V01G,8.9,2.2,
C03B,V01M,6.7,0.2,
C03B,V02A,40.2,3.1,
C03B,V02B,15.2,2.2,
C03B,V02C,8.6,2,
C03B,V02D,13,2.3,
C03B,V02E,11,2,
C03B,V02F,4.8,1.5,*
C03B,V02G,7.3,2.1,
C03B,V02M,5,0.2,
C03B,V03A,59.4,3.6,
C03B,V03B,33.9,3.6,
C03B,V03C,4.7,1.3,
C03B,V03D,2,1.2,**
C03B,V04F,92.8,9.9,
C03B,V05A,15.6,16.3,***
C03B,V06A,44.4,3.6,
C03B,V06B,42,3.2,
C03B,V06C,9.5,2.1,
C03B,V06D,4.1,1.3,*
C03B,V07A,85.2,11.1,
C03B,V08A,35.4,16.3,*
C03B,V09A,67.8,3.3,
C03B,V09B,28.9,3.2,
C03B,V09C,2.6,1,*
